"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.03613,0.03087,0.06185,0.05911,0.07698,0.06385,0.09989,0.12311,0.0141,0.13646,0.22736,0.01474,0.01793,0.0183,0.01931
"2",0.01277,0.04595,0.04774,0.04955,0.01842,0.04871,0.0888,0.10224,0.29692,0.11307,0.10554,0.01474,0.01793,0.0183,0.01931
"3",0.01531,0.033,0.05021,0.04773,0.11776,0.04512,0.01671,0.13706,0.03087,0.28819,0.14775,0.01474,0.01793,0.0183,0.01931
"4",0.01674,0.03152,0.06411,0.09214,0.02615,0.04503,0.02582,0.09168,0.16904,0.12956,0.23793,0.01474,0.01793,0.0183,0.01931
"5",0.03605,0.05136,0.02152,0.02589,0.06998,0.07924,0.20307,0.05107,0.2157,0.13873,0.03711,0.01474,0.01793,0.0183,0.01931
"6",0.04499,0.03597,0.01981,0.06351,0.01485,0.05776,0.05487,0.0354,0.14633,0.22884,0.22737,0.01474,0.01793,0.0183,0.01931
"7",0.04659,0.03272,0.01289,0.09942,0.06603,0.12043,0.08335,0.04041,0.17095,0.01251,0.24441,0.01474,0.01793,0.0183,0.01931
"8",0.04512,0.0195,0.0161,0.02923,0.13192,0.04215,0.19927,0.07589,0.1885,0.03824,0.14379,0.01474,0.01793,0.0183,0.01931
"9",0.03829,0.0193,0.02248,0.07743,0.12345,0.01853,0.06435,0.01647,0.13493,0.05358,0.3609,0.01474,0.01793,0.0183,0.01931
"10",0.01734,0.05557,0.06034,0.09632,0.10598,0.14652,0.03349,0.13443,0.19893,0.02893,0.05187,0.01474,0.01793,0.0183,0.01931
"11",0.01749,0.05161,0.04498,0.10376,0.10727,0.08054,0.03499,0.23067,0.06641,0.15161,0.04039,0.01474,0.01793,0.0183,0.01931
"12",0.03859,0.01922,0.03758,0.10473,0.07921,0.14148,0.01549,0.02029,0.2167,0.094,0.16243,0.01474,0.01793,0.0183,0.01931
"13",0.04451,0.04166,0.06418,0.09837,0.08579,0.04068,0.09664,0.18713,0.0365,0.0523,0.18196,0.01474,0.01793,0.0183,0.01931
"14",0.03498,0.03093,0.04382,0.103,0.07144,0.13119,0.03303,0.04042,0.31112,0.06943,0.06035,0.01474,0.01793,0.0183,0.01931
"15",0.04741,0.01569,0.01494,0.05995,0.13472,0.08165,0.14581,0.11715,0.02419,0.05195,0.23626,0.01474,0.01793,0.0183,0.01931
"16",0.03987,0.03779,0.06034,0.02417,0.05046,0.01294,0.08129,0.14652,0.06813,0.30177,0.10643,0.01474,0.01793,0.0183,0.01931
"17",0.01419,0.01613,0.02186,0.03917,0.11415,0.01677,0.24891,0.09033,0.02349,0.01586,0.32884,0.01474,0.01793,0.0183,0.01931
"18",0.04349,0.05587,0.02842,0.08624,0.0319,0.08627,0.07932,0.0438,0.04179,0.12417,0.30845,0.01474,0.01793,0.0183,0.01931
"19",0.04708,0.05529,0.04899,0.01779,0.08488,0.15271,0.04337,0.12172,0.04486,0.07585,0.23717,0.01474,0.01793,0.0183,0.01931
"20",0.04826,0.01628,0.02579,0.02379,0.06623,0.03861,0.06075,0.1184,0.1037,0.20232,0.22559,0.01474,0.01793,0.0183,0.01931
"21",0.01287,0.0292,0.02059,0.04819,0.07438,0.03348,0.08574,0.15848,0.09202,0.18379,0.19097,0.01474,0.01793,0.0183,0.01931
"22",0.01395,0.03558,0.0152,0.03722,0.04201,0.13143,0.06463,0.19809,0.16059,0.03836,0.19267,0.01474,0.01793,0.0183,0.01931
"23",0.02703,0.03428,0.03559,0.08375,0.12414,0.05071,0.19853,0.02561,0.01839,0.01625,0.31545,0.01474,0.01793,0.0183,0.01931
"24",0.03986,0.04181,0.02884,0.07932,0.03078,0.02593,0.0246,0.17886,0.16747,0.24168,0.07057,0.01474,0.01793,0.0183,0.01931
"25",0.03475,0.03831,0.03618,0.08141,0.05013,0.08792,0.19437,0.12946,0.10187,0.15444,0.02088,0.01474,0.01793,0.0183,0.01931
"26",0.01559,0.05446,0.03464,0.03698,0.12069,0.07415,0.07842,0.02931,0.19281,0.10244,0.19021,0.01474,0.01793,0.0183,0.01931
"27",0.02071,0.04792,0.04628,0.07314,0.04277,0.11827,0.18482,0.17234,0.14911,0.02224,0.05212,0.01474,0.01793,0.0183,0.01931
"28",0.01474,0.02024,0.05794,0.10731,0.04997,0.1663,0.18522,0.02328,0.1471,0.1313,0.02634,0.01474,0.01793,0.0183,0.01931
"29",0.0333,0.02257,0.01999,0.06007,0.13479,0.08508,0.1028,0.05131,0.27419,0.11155,0.03407,0.01474,0.01793,0.0183,0.01931
"30",0.03878,0.05157,0.02381,0.0807,0.02143,0.09418,0.0734,0.24439,0.01979,0.16717,0.1145,0.01474,0.01793,0.0183,0.01931
