"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.04202,0.03195,0.06932,0.07311,0.03255,0.09946,0.17408,0.05515,0.05005,0.07762,0.18949,0.02532,0.02537,0.02667,0.02786
"2",0.03979,0.04038,0.02592,0.06858,0.03043,0.1322,0.05488,0.09704,0.08577,0.19074,0.12904,0.02532,0.02537,0.02667,0.02786
"3",0.02832,0.03298,0.05036,0.06607,0.03913,0.04917,0.09646,0.09776,0.27585,0.12575,0.03293,0.02532,0.02537,0.02667,0.02786
"4",0.03506,0.05448,0.0406,0.05917,0.07803,0.07962,0.05483,0.06409,0.11012,0.19328,0.12551,0.02532,0.02537,0.02667,0.02786
"5",0.02563,0.03674,0.03872,0.04367,0.05461,0.03464,0.10143,0.04458,0.06864,0.27536,0.17076,0.02532,0.02537,0.02667,0.02786
"6",0.03494,0.02825,0.03745,0.03629,0.05023,0.02735,0.06782,0.22497,0.18262,0.04461,0.16025,0.02532,0.02537,0.02667,0.02786
"7",0.03772,0.04253,0.02731,0.03386,0.03189,0.03638,0.13759,0.07184,0.27503,0.14969,0.05095,0.02532,0.02537,0.02667,0.02786
"8",0.03144,0.04808,0.03381,0.03247,0.03843,0.12211,0.14503,0.02525,0.05846,0.32629,0.03341,0.02532,0.02537,0.02667,0.02786
"9",0.0268,0.05441,0.04402,0.02591,0.02517,0.06252,0.15644,0.02932,0.12035,0.17437,0.17548,0.02532,0.02537,0.02667,0.02786
"10",0.03565,0.03983,0.02823,0.03829,0.06734,0.06383,0.13662,0.05661,0.1926,0.04123,0.19455,0.02532,0.02537,0.02667,0.02786
"11",0.02709,0.02851,0.03146,0.06675,0.03338,0.12337,0.14661,0.06804,0.11285,0.08394,0.17279,0.02532,0.02537,0.02667,0.02786
"12",0.02981,0.0551,0.06332,0.03627,0.03712,0.09737,0.1491,0.0468,0.03972,0.08341,0.25678,0.02532,0.02537,0.02667,0.02786
"13",0.02617,0.04269,0.06844,0.04841,0.05993,0.10118,0.09092,0.02967,0.06163,0.21004,0.15569,0.02532,0.02537,0.02667,0.02786
"14",0.044,0.04372,0.03988,0.03252,0.06218,0.11922,0.08046,0.11384,0.04906,0.13356,0.17634,0.02532,0.02537,0.02667,0.02786
"15",0.03255,0.04588,0.03105,0.06326,0.07856,0.07646,0.05849,0.12138,0.13226,0.16094,0.09394,0.02532,0.02537,0.02667,0.02786
"16",0.02804,0.05729,0.03551,0.07238,0.07685,0.11174,0.09886,0.03901,0.23726,0.06531,0.07255,0.02532,0.02537,0.02667,0.02786
"17",0.04177,0.02687,0.04126,0.06641,0.04802,0.11298,0.18767,0.04603,0.21414,0.0415,0.06813,0.02532,0.02537,0.02667,0.02786
"18",0.03752,0.03295,0.05372,0.06556,0.04634,0.05891,0.05792,0.13086,0.18498,0.08577,0.14026,0.02532,0.02537,0.02667,0.02786
"19",0.0421,0.05734,0.02684,0.04357,0.04351,0.05889,0.04642,0.19904,0.18653,0.12086,0.06969,0.02532,0.02537,0.02667,0.02786
"20",0.03388,0.02718,0.06882,0.05911,0.07232,0.03586,0.17302,0.04247,0.32443,0.0289,0.02878,0.02532,0.02537,0.02667,0.02786
